Line | Original | Parsed Value
------------------------------------------------------------
205 | -662732,01 | -662732.01
206 | 4320000,00 | 4320000.00
207 | 203981,52 | 203981.52
208 | 864000,00 | 864000.00
209 | 203981,52 | 203981.52
210 | 864000,00 | 864000.00
211 | 611944,68 | 611944.68
212 | 864000,00 | 864000.00
213 | 1200000,00 | 1200000.00
214 | 3360000,00 | 3360000.00
215 | 611944,68 | 611944.68
216 | 2400000,00 | 2400000.00
217 | 203981,52 | 203981.52
218 | 864000,00 | 864000.00
219 | 203981,52 | 203981.52
220 | 162247,68 | 162247.68
221 | 40561,92 | 40561.92
222 | 32449,54 | 32449.54
223 | 243371,52 | 243371.52
224 | 60842,88 | 60842.88
225 | 48674,30 | 48674.30
226 | 180000,00 | 180000.00
227 | 20000,00 | 20000.00
228 | 945000,00 | 945000.00
229 | 50995,38 | 50995.38
230 | -263062,22 | -263062.22
231 | -540000,00 | -540000.00
232 | -26306,22 | -26306.22
233 | -67993,80 | -67993.80
234 | -150000,00 | -150000.00
235 | 2160000,00 | 2160000.00
236 | 600000,00 | 600000.00
237 | 70004,00 | 70004.00
238 | 263062,22 | 263062.22
239 | 26306,22 | 26306.22
240 | 540000,00 | 540000.00
241 | 611944,68 | 611944.68
242 | 150000,00 | 150000.00
243 | 263062,22 | 263062.22
244 | 26306,22 | 26306.22
245 | 540000,00 | 540000.00
246 | 67993,80 | 67993.80
247 | 150000,00 | 150000.00
248 | 12000,00 | 12000.00
249 | -540000,00 | -540000.00
250 | -67993,80 | -67993.80
251 | 67993,80 | 67993.80
252 | -540000,00 | -540000.00
253 | -203981,52 | -203981.52
254 | 67993,80 | 67993.80
255 | 203981,52 | 203981.52
256 | 864000,00 | 864000.00
257 | 67993,80 | 67993.80
258 | 864000,00 | 864000.00
259 | 203981,52 | 203981.52
260 | 3360000,00 | 3360000.00
261 | 203981,52 | 203981.52
262 | 2400000,00 | 2400000.00
263 | 203981,52 | 203981.52
264 | 203981,52 | 203981.52
265 | 540000,00 | 540000.00
266 | 67993,80 | 67993.80
267 | 203981,52 | 203981.52
268 | 203981,52 | 203981.52
269 | 203981,52 | 203981.52
270 | 203981,52 | 203981.52
271 | 100000,00 | 100000.00
272 | 203981,52 | 203981.52
273 | 203981,52 | 203981.52
274 | 203981,52 | 203981.52
275 | 611944,68 | 611944.68
276 | 360000,00 | 360000.00
277 | 321843,67 | 321843.67
278 | 212422,35 | 212422.35
279 | 108000,00 | 108000.00
280 | 1600000,00 | 1600000.00
281 | 203981,52 | 203981.52
282 | 203981,52 | 203981.52
283 | 67993,80 | 67993.80
284 | -19774,90 | -19774.90
285 | 53798,31 | 53798.31
286 | 45000,00 | 45000.00
287 | 36000,00 | 36000.00
288 | 36000,00 | 36000.00
289 | 89952,24 | 89952.24
290 | 17744,94 | 17744.94
291 | 252,09 | 252.09
292 | 67993,80 | 67993.80
293 | 67993,80 | 67993.80
294 | 203981,52 | 203981.52
295 | 120000,00 | 120000.00
296 | 540000,00 | 540000.00
297 | 611944,68 | 611944.68
298 | 19774,90 | 19774.90
299 | 864000,00 | 864000.00
300 | 864000,00 | 864000.00
301 | 864000,00 | 864000.00
302 | -32698,52 | -32698.52
303 | -9626,40 | -9626.40
304 | -14000,00 | -14000.00
305 | -8000,00 | -8000.00
306 | -60000,00 | -60000.00
307 | -36281,30 | -36281.30
308 | 1224191,64 | 1224191.64
